# ФОРМЫ ВОПРОСА СВОДА И ТО, ЧИТАЕТ ЛИ ИХ КТО-НИБУДЬ (06.09)
#
# СЛОВА ВОПРОСА НЕ ЧИТАЕТ НИКТО — не в одном суде, а в корпусе вообще.
# Порченый вопрос («кратн ли 7 числу 3?») остаётся вопросной половиной
# объявленной пары и покрыт правилом (б) закона покрытия; пара проверяет
# ВЕЛИЧИНЫ вопроса и их порядок, а слова — нет.
#
#     ЗАКОН ПАРЫ ЧИТАЕТ ВЕЛИЧИНЫ, И ПОТОМУ ОН СЛЕП НА ВОПРОС О СВОЙСТВЕ.
#     «чётно ли 32?» и «чётн ли 32?» несут одни и те же величины в одном
#     порядке — пара их не различает, а иного читателя у вопроса нет.
#
# ЧИТАЕТСЯ ли форма — проверено ПОРЧЕЙ первого слова вопроса в три буквы:
# если вердикт СТРОКИ дрогнул (ложь или немота), слова читал кто-то.
# Выборка: 40 строк на мир.
форма	миры	строк	читается	пример
{Носитель} has drunk # gallon. {Носитель} has drunk # more gallons than {Носитель}. how many gallons does {Носитель} hold now?	verbs	1	да	Rosa has drunk 1 gallon. Ida has drunk 5 more gallons than Rosa. how many gallons does Ida hold now?
{Носитель} has held # balloons. {Носитель} has held # more balloons than {Носитель}. how many balloons does {Носитель} hold now?	verbs	1	да	Ida has held 2 balloons. Tara has held 4 more balloons than Ida. how many balloons does Tara hold now?
{Носитель} has made # sandwich. {Носитель} has made # more sandwiches than {Носитель}. how many sandwiches does {Носитель} hold now?	verbs	1	да	Rosa has made 1 sandwich. Ida has made 6 more sandwiches than Rosa. how many sandwiches does Ida hold now?
{Носитель} has needed # cups. {Носитель} has needed # more cups than {Носитель}. how many cups does {Носитель} hold now?	verbs	1	да	Pia has needed 4 cups. Vera has needed 9 more cups than Pia. how many cups does Vera hold now?
{Носитель} has no books. how many books does {Носитель} have?	holdforms	1	да	Carla has no books. how many books does Carla have?
{Носитель} has no coins. how many coins does {Носитель} have?	holdforms	1	да	Elena has no coins. how many coins does Elena have?
{Носитель} has read # book. {Носитель} has read # more books than {Носитель}. how many books does {Носитель} hold now?	verbs	1	да	Rosa has read 1 book. Ida has read 8 more books than Rosa. how many books does Ida hold now?
{Носитель} has sold # books. {Носитель} has sold # more books than {Носитель}. how many books does {Носитель} hold now?	verbs	1	да	Ida has sold 2 books. Tara has sold 7 more books than Ida. how many books does Tara hold now?
{Носитель} has sold # cookies. {Носитель} has sold # more cookies than {Носитель}. how many cookies does {Носитель} hold now?	verbs	1	да	Umar has sold 4 cookies. Rosa has sold 8 more cookies than Umar. how many cookies does Rosa hold now?
{Носитель} has twice as many cookies as {Носитель}. {Носитель} has # cookies. how many cookies does {Носитель} hold now?	genesis_compare	1	да	Ava has twice as many cookies as Dan. Dan has 3 cookies. how many cookies does Ava hold now?
{Носитель} hat # Bälle und # {Носитель}. wie viele {Носитель} hat {Носитель}?	holdforms	1	да	Jonas hat 32 Bälle und 28 Karten. wie viele Karten hat Jonas?
{Носитель} hat # Bälle. sie gab # Bälle weg. wie viele hat sie noch?	anaphora	1	да	Lena hat 9 Bälle. sie gab 4 Bälle weg. wie viele hat sie noch?
{Носитель} hat # Bücher. wie viele Bücher hat {Носитель}?	holdforms	1	да	Lena hat 34 Bücher. wie viele Bücher hat Lena?
{Носитель} hat # Münzen weniger als doppelt so viele wie {Носитель}. {Носитель} hat # Münzen. wie viele Münzen hat {Носитель}?	relations_story	1	да	Mia hat 6 Münzen weniger als doppelt so viele wie Laura. Mia hat 16 Münzen. wie viele Münzen hat Laura?
{Носитель} hat # Münzen. sie gab # Münzen weg. wie viele hat sie noch?	anaphora	1	да	Lena hat 7 Münzen. sie gab 2 Münzen weg. wie viele hat sie noch?
{Носитель} hat # blaue {Носитель}. welche {Носитель} haben die {Носитель}?	sceneforms	1	да	Mia hat 19 blaue Blumen. welche Farbe haben die Blumen?
{Носитель} hat # {Носитель} und # {Носитель}. wie viele {Носитель} hat {Носитель} insgesamt?	joints	1	да	Lena hat 10 Blumen und 30 Tassen. wie viele Dinge hat Lena insgesamt?
{Носитель} hat # {Носитель} und # {Носитель}. wie viele {Носитель} hat {Носитель}?	holdforms	1	да	Lena hat 17 Karten und 3 Blumen. wie viele Blumen hat Lena?
{Носитель} hat # {Носитель} weniger als dreimal so viele wie {Носитель}. {Носитель} hat # {Носитель}. wie viele {Носитель} hat {Носитель}?	relations_story	1	да	Mia hat 2 Sticker weniger als dreimal so viele wie Anna. Anna hat 17 Sticker. wie viele Sticker hat Mia?
{Носитель} hat # {Носитель} weniger als viermal so viele wie {Носитель}. {Носитель} hat # {Носитель}. wie viele {Носитель} hat {Носитель}?	relations_story	1	да	Anna hat 2 Karten weniger als viermal so viele wie Lena. Lena hat 23 Karten. wie viele Karten hat Anna?
{Носитель} hat # {Носитель} Äpfel und # {Носитель} {Носитель}. wie viele {Носитель} {Носитель} hat sie insgesamt?	svamp	1	да	Laura hat 18 Kisten Äpfel und 11 Kisten Birnen. wie viele Kisten Obst hat sie insgesamt?
{Носитель} hat # {Носитель}, # Bücher und # {Носитель}. wie viele {Носитель} hat {Носитель} insgesamt?	action_pages	1	да	Laura hat 10 Stifte, 10 Bücher und 10 Eier. wie viele Dinge hat Laura insgesamt?
{Носитель} hat # {Носитель}, # {Носитель}, # Münzen. wie viele {Носитель} hat {Носитель} insgesamt?	joints	1	да	Laura hat 35 Karten, 47 Blumen, 4 Münzen. wie viele Dinge hat Laura insgesamt?
{Носитель} hat # {Носитель}. sie verdient # {Носитель} pro {Носитель}. ein {Носитель} kostet # {Носитель}. wie viele {Носитель} braucht sie?	money_story	1	да	Anna hat 45 Euro. sie verdient 20 Euro pro Tag. ein Tablet kostet 365 Euro. wie viele Tage braucht sie?
{Носитель} hat # {Носитель}. sie verdient # {Носитель} pro {Носитель}. eine {Носитель} kostet # {Носитель}. wie viele {Носитель} braucht sie?	money_story	1	да	Lena hat 30 Euro. sie verdient 30 Euro pro Tag. eine Kamera kostet 480 Euro. wie viele Tage braucht sie?
{Носитель} hat # {Носитель}. wer hat # {Носитель}?	holdforms	1	да	Laura hat 30 Tassen. wer hat 30 Tassen?
{Носитель} hat # {Носитель}. wie viele {Носитель} hat {Носитель}?	holdforms	1	да	Laura hat 12 Eier. wie viele Eier hat Laura?
{Носитель} hat # {Носитель}. {Носитель} hat # {Носитель} weniger als {Носитель}. wie viele {Носитель} hat {Носитель}?	cmpframes	1	да	Mia hat 16 Spiele. Felix hat 7 Spiele weniger als Mia. wie viele Spiele hat Felix?
{Носитель} hat # {Носитель}. {Носитель} hat # {Носитель}. wer hat weniger {Носитель}?	cmpframes	1	да	Max hat 14 Apps. Mia hat 32 Apps. wer hat weniger Apps?
{Носитель} hat # {Носитель}. {Носитель} hat # {Носитель}. wie viele {Носитель} mehr hat {Носитель} als {Носитель}?	cmpframes	1	да	Felix hat 16 Apps. Laura hat 23 Apps. wie viele Apps mehr hat Laura als Felix?
{Носитель} hat # Äpfel. sie gab # Äpfel weg. wie viele hat sie noch?	anaphora	1	да	Lena hat 12 Äpfel. sie gab 5 Äpfel weg. wie viele hat sie noch?
{Носитель} hat #,# {Носитель}. sie sparte #,# {Носитель}. wie viel {Носитель} hat sie jetzt?	money_story	1	да	Laura hat 13,85 Euro. sie sparte 7,17 Euro. wie viel Geld hat sie jetzt?
{Носитель} hatte # Bücher. ihr {Носитель} gab ihr noch # Bücher. wie viele Bücher hat {Носитель} jetzt?	kinbearer	1	да	Anna hatte 12 Bücher. ihr Vater gab ihr noch 7 Bücher. wie viele Bücher hat Anna jetzt?
{Носитель} hatte # Bücher. sie gab ihrem {Носитель} # Bücher. wie viele Bücher hat {Носитель} jetzt?	kinbearer	1	да	Anna hatte 9 Bücher. sie gab ihrem Vater 3 Bücher. wie viele Bücher hat Anna jetzt?
{Носитель} hatte # Bücher. {Носитель} hatte auch welche. sie kaufte # Bücher von ihm. wie viele Bücher hat {Носитель} jetzt?	svamp	1	да	Lena hatte 15 Bücher. Max hatte auch welche. sie kaufte 6 Bücher von ihm. wie viele Bücher hat Lena jetzt?
{Носитель} hatte # {Носитель} und {Носитель} hatte # {Носитель}. {Носитель} gab ihm # {Носитель}. wie viele {Носитель} hat {Носитель} jetzt?	pronobject	1	да	Anna hatte 20 Bleistifte und Ben hatte 5 Bleistifte. Anna gab ihm 8 Bleistifte. wie viele Bleistifte hat Anna 
{Носитель} hatte # {Носитель}. ihr {Носитель} gab ihr noch # {Носитель}. wie viele {Носитель} hat {Носитель} jetzt?	kinbearer	1	да	Anna hatte 20 Bleistifte. ihr Vater gab ihr noch 15 Bleistifte. wie viele Bleistifte hat Anna jetzt?
{Носитель} hatte # {Носитель}. ihre {Носитель} gab ihr noch # {Носитель}. wie viele {Носитель} hat {Носитель} jetzt?	kinbearer	1	да	Anna hatte 5 Bleistifte. ihre Mutter gab ihr noch 4 Bleistifte. wie viele Bleistifte hat Anna jetzt?
{Носитель} hatte # {Носитель}. {Носитель} aß # {Носитель}. wie viele {Носитель} hat {Носитель} noch?	action_pages	1	да	Paul hatte 45 Eier. Paul aß 21 Eier. wie viele Eier hat Paul noch?
{Носитель} heeft # actiefiguren. {Носитель} heeft # actiefiguren. hoeveel keer meer actiefiguren heeft {Носитель} dan {Носитель}?	cmpframes	1	да	Bram heeft 99 actiefiguren. Sanne heeft 33 actiefiguren. hoeveel keer meer actiefiguren heeft Bram dan Sanne?
{Носитель} heeft # appels. hij gaf # appels weg. hoeveel heeft hij nog?	anaphora	1	да	Jonas heeft 11 appels. hij gaf 3 appels weg. hoeveel heeft hij nog?
{Носитель} heeft # appels. zij gaf # appels weg. hoeveel heeft zij nog?	anaphora	1	да	Anna heeft 20 appels. zij gaf 8 appels weg. hoeveel heeft zij nog?
{Носитель} heeft # ballen. een kwart daarvan is blauw. hoeveel daarvan zijn niet blauw?	svamp	1	да	Daan heeft 20 ballen. een kwart daarvan is blauw. hoeveel daarvan zijn niet blauw?
{Носитель} heeft # ballen. hij gaf # ballen weg. hoeveel heeft hij nog?	anaphora	1	да	Paul heeft 7 ballen. hij gaf 2 ballen weg. hoeveel heeft hij nog?
{Носитель} heeft # bloemen. en als het er twee keer zoveel waren?	links	1	да	Anna heeft 15 bloemen. en als het er twee keer zoveel waren?
{Носитель} heeft # eieren plus # appels. hoeveel dingen heeft {Носитель} in totaal?	joints	1	да	Daan heeft 12 eieren plus 8 appels. hoeveel dingen heeft Daan in totaal?
{Носитель} heeft # eieren. haar moeder heeft # eieren. hoeveel eieren hebben ze samen?	svamp	1	да	Lotte heeft 30 eieren. haar moeder heeft 12 eieren. hoeveel eieren hebben ze samen?
{Носитель} heeft # eieren. hoeveel eieren bezit {Носитель}?	svamp	1	да	Lotte heeft 30 eieren. hoeveel eieren bezit Lotte?
{Носитель} heeft # kaarten, # appels alsook # kaarten. hoeveel dingen heeft {Носитель} in totaal?	joints	1	да	Sanne heeft 12 kaarten, 16 appels alsook 11 kaarten. hoeveel dingen heeft Sanne in totaal?
{Носитель} heeft # kaarten, # ballen en # kaarten. hoeveel dingen heeft {Носитель} in totaal?	joints	1	да	Daan heeft 10 kaarten, 32 ballen en 15 kaarten. hoeveel dingen heeft Daan in totaal?
{Носитель} heeft # kaarten, # ballen plus # eieren. hoeveel dingen heeft {Носитель} in totaal?	joints	1	да	Daan heeft 30 kaarten, 30 ballen plus 11 eieren. hoeveel dingen heeft Daan in totaal?
{Носитель} heeft # kleurpotloden. {Носитель} heeft # kleurpotloden. wie heeft minder kleurpotloden?	cmpframes	1	да	Sanne heeft 12 kleurpotloden. Luuk heeft 33 kleurpotloden. wie heeft minder kleurpotloden?
{Носитель} heeft # munten. zij gaf # munten weg. hoeveel heeft zij nog?	anaphora	1	да	Lotte heeft 15 munten. zij gaf 6 munten weg. hoeveel heeft zij nog?
{Носитель} heeft # rode kaarten en # blauwe kaarten. hoeveel kaarten heeft {Носитель} alles bij elkaar?	svamp	1	да	Sanne heeft 18 rode kaarten en 11 blauwe kaarten. hoeveel kaarten heeft Sanne alles bij elkaar?
{Носитель} hizo # abdominales. {Носитель} hizo el triple de abdominales que {Носитель}. ¿cuántos abdominales hizo {Носитель}?	cmpframes	1	да	Diego hizo 32 abdominales. Elena hizo el triple de abdominales que Diego. ¿cuántos abdominales hizo Elena?
{Носитель} hizo # flexiones. {Носитель} hizo # flexiones. ¿quién hizo menos flexiones?	cmpframes	1	да	Ana hizo 7 flexiones. Luis hizo 16 flexiones. ¿quién hizo menos flexiones?
{Носитель} holds #.# dollars. he paid #.# dollars. how much money does he have now?	money_story	1	да	Ben holds 8.40 dollars. he paid 1.62 dollars. how much money does he have now?
{Носитель} holds #.# dollars. she saved #.# dollars. how much money does she have now?	money_story	1	да	Elena holds 22.50 dollars. she saved 3.52 dollars. how much money does she have now?
{Носитель} holds $#.#. she buys a book for $#.#. how much money does she have now?	money_story	1	да	Carla holds $11.75. she buys a book for $3.97. how much money does she have now?
{Носитель} is four times as old as {Носитель}. together they are # years old. how old is {Носитель}?	relations_story	1	да	Carla is four times as old as Elena. together they are 20 years old. how old is Elena?
{Носитель} is groter dan {Носитель}. {Носитель} is groter dan {Носитель}. wie is het grootst?	degrees	1	да	Bram is groter dan Daan. Daan is groter dan Sem. wie is het grootst?
{Носитель} is kleiner dan {Носитель}. {Носитель} is kleiner dan {Носитель}. wie is het kleinst?	degrees	1	да	Daan is kleiner dan Sem. Sem is kleiner dan Bram. wie is het kleinst?
{Носитель} is shorter than {Носитель}. what about {Носитель} then?	degrees	1	да	Ben is shorter than Carlos. what about Carlos then?
{Носитель} is slechter dan {Носитель}. {Носитель} is slechter dan {Носитель}. wie is het slechtst?	degrees	1	да	Sem is slechter dan Bram. Bram is slechter dan Daan. wie is het slechtst?
{Носитель} is twice older than {Носитель}. {Носитель} is # years old. how old is {Носитель}?	relations_story	1	да	Dima is twice older than Ava. Ava is 9 years old. how old is Dima?
{Носитель} ist # {Носитель} alt. wie alt wird {Носитель} in # {Носитель} sein?	relations_story	1	да	Max ist 14 Jahre alt. wie alt wird Max in 4 Jahren sein?
{Носитель} ist # {Носитель} alt. {Носитель} ist doppelt so alt wie {Носитель}. wie alt wird {Носитель} in # {Носитель} sein?	relations_story	1	да	Mia ist 21 Jahre alt. Jonas ist doppelt so alt wie Mia. wie alt wird Jonas in 8 Jahren sein?
{Носитель} ist # {Носитель} alt. {Носитель} ist dreimal so alt wie {Носитель}. wie alt wird {Носитель} in # {Носитель} sein?	relations_story	1	да	Lena ist 21 Jahre alt. Felix ist dreimal so alt wie Lena. wie alt wird Felix in 4 Jahren sein?
{Носитель} ist # {Носитель} alt. {Носитель} ist viermal so alt wie {Носитель}. wie alt wird {Носитель} in # {Носитель} sein?	relations_story	1	да	Mia ist 9 Jahre alt. Paul ist viermal so alt wie Mia. wie alt wird Paul in 8 Jahren sein?
{Носитель} ist dreimal so alt wie {Носитель}. zusammen sind sie # {Носитель} alt. wie alt ist {Носитель}?	relations_story	1	да	Anna ist dreimal so alt wie Paul. zusammen sind sie 48 Jahre alt. wie alt ist Paul?
{Носитель} ist langsamer als {Носитель}. {Носитель} ist langsamer als {Носитель}. wer ist am langsamsten?	degrees	1	да	Paul ist langsamer als Felix. Felix ist langsamer als Jonas. wer ist am langsamsten?
{Носитель} ist müde. deshalb macht {Носитель} mehr {Носитель}. warum macht {Носитель} mehr {Носитель}?	behavior	1	да	Paul ist müde. deshalb macht Paul mehr Fehler. warum macht Paul mehr Fehler?
{Носитель} ist schlechter als {Носитель}. {Носитель} ist schlechter als {Носитель}. wer ist am schlechtesten?	degrees	1	да	Felix ist schlechter als Jonas. Jonas ist schlechter als Paul. wer ist am schlechtesten?
{Носитель} ist viermal so alt wie {Носитель}. zusammen sind sie # {Носитель} alt. wie alt ist {Носитель}?	relations_story	1	да	Anna ist viermal so alt wie Max. zusammen sind sie 20 Jahre alt. wie alt ist Max?
{Носитель} ist viermal so alt wie {Носитель}. {Носитель} ist # {Носитель} alt. wie alt ist {Носитель}?	relations_story	1	да	Laura ist viermal so alt wie Felix. Felix ist 3 Jahre alt. wie alt ist Laura?
{Носитель} jest lepszy niż {Носитель}. a jaki jest {Носитель}?	degrees	1	да	Jan jest lepszy niż Piotr. a jaki jest Piotr?
{Носитель} jest lepszy niż {Носитель}. {Носитель} jest lepszy niż Paweł. kto jest najlepszy?	degrees	1	да	Jan jest lepszy niż Piotr. Piotr jest lepszy niż Paweł. kto jest najlepszy?
{Носитель} jest szybszy niż Paweł. Paweł jest szybszy niż {Носитель}. kto jest najszybszy?	degrees	1	да	Piotr jest szybszy niż Paweł. Paweł jest szybszy niż Jan. kto jest najszybszy?
{Носитель} kauft # Bücher, # {Носитель} und # {Носитель}. ein {Носитель} kostet #,# {Носитель}, eine {Носитель} kostet #,# {Носитель}, ein {Носитель} kostet #,# {Носитель}. wie viel bezahlt er insgesamt?	money_story	1	да	Max kauft 2 Bücher, 6 Tassen und 2 Bleistifte. ein Buch kostet 1,90 Euro, eine Tasse kostet 4,40 Euro, ein Ble
{Носитель} kauft # {Носитель} zu je #,# {Носитель} und # {Носитель} zu je #,# {Носитель}. wie viel bezahlt er insgesamt?	money_story	1	да	Felix kauft 3 Stifte zu je 1,75 Euro und 7 Tassen zu je 6,65 Euro. wie viel bezahlt er insgesamt?
{Носитель} kauft # {Носитель} zu je #,# {Носитель}. wie viel bezahlt er insgesamt?	money_story	1	да	Felix kauft 6 Stifte zu je 1,10 Euro. wie viel bezahlt er insgesamt?
{Носитель} kauft # {Носитель}, # Bücher und # {Носитель}. ein {Носитель} kostet #,# {Носитель}, ein {Носитель} kostet #,# {Носитель}, eine {Носитель} kostet #,# {Носитель}. wie viel bezahlt er insgesamt?	money_story	1	да	Jonas kauft 5 Stifte, 7 Bücher und 5 Tassen. ein Stift kostet 7,35 Euro, ein Buch kostet 9,55 Euro, eine Tasse
{Носитель} kauft # Äpfel zu je #,# {Носитель} und # Bücher zu je #,# {Носитель}. wie viel bezahlt er insgesamt?	money_story	1	да	Paul kauft 5 Äpfel zu je 7,45 Euro und 3 Bücher zu je 8,35 Euro. wie viel bezahlt er insgesamt?
{Носитель} lifts # pounds every day. how much in # days?	heads	1	да	Dima lifts 3 pounds every day. how much in 5 days?
{Носитель} ma # długopisów, # jabłek plus # długopisy. ile rzeczy ma {Носитель} w sumie?	joints	1	да	Zofia ma 37 długopisów, 35 jabłek plus 2 długopisy. ile rzeczy ma Zofia w sumie?
{Носитель} ma # jabłek. czy chodzi panu o # jabłek?	links	1	да	Marek ma 12 jabłek. czy chodzi panu o 12 jabłek?
{Носитель} ma # jabłek. dała # jabłka. ile jej zostało?	anaphora	1	да	Ewa ma 11 jabłek. dała 3 jabłka. ile jej zostało?
{Носитель} ma # jajka. a Paweł?	links	1	да	Piotr ma 22 jajka. a Paweł?
{Носитель} ma # kapsli. {Носитель} ma # kapsle. o ile więcej kapsli ma {Носитель} niż {Носитель}?	cmpframes	1	да	Anna ma 16 kapsli. Jan ma 23 kapsle. o ile więcej kapsli ma Jan niż Anna?
{Носитель} ma # kapsli. {Носитель} ma o # kapsli więcej niż {Носитель}. ile kapsli ma {Носитель}?	cmpframes	1	да	Maria ma 21 kapsli. Marek ma o 6 kapsli więcej niż Maria. ile kapsli ma Marek?
{Носитель} ma # kart. co ma {Носитель}?	holdforms	1	да	Jan ma 9 kart. co ma Jan?
{Носитель} ma # książek i # jabłek. ile jabłek ma {Носитель}?	holdforms	1	да	Zofia ma 30 książek i 14 jabłek. ile jabłek ma Zofia?
{Носитель} ma # książek. dał # książki. ile mu zostało?	anaphora	1	да	Piotr ma 11 książek. dał 3 książki. ile mu zostało?
{Носитель} ma # kwiaty plus # długopisów. ile rzeczy ma {Носитель} w sumie?	joints	1	да	Ewa ma 23 kwiaty plus 25 długopisów. ile rzeczy ma Ewa w sumie?
{Носитель} ma # monet, # długopisów i # jajek. ile rzeczy ma {Носитель} w sumie?	joints	1	да	Ewa ma 38 monet, 50 długopisów i 17 jajek. ile rzeczy ma Ewa w sumie?
{Носитель} ma # piłek. dał # piłek. ile mu zostało?	anaphora	1	да	Piotr ma 15 piłek. dał 6 piłek. ile mu zostało?
{Носитель} ma # piłek. dał # piłki. ile mu zostało?	anaphora	1	да	Marek ma 9 piłek. dał 4 piłki. ile mu zostało?
{Носитель} ma # piłek. dała # piłki. ile jej zostało?	anaphora	1	да	Ewa ma 9 piłek. dała 4 piłki. ile jej zostało?
{Носитель} ma # piłek. ile piłek ma {Носитель}?	holdforms	1	да	Maria ma 8 piłek. ile piłek ma Maria?
{Носитель} ma # róż. {Носитель} ma dwa razy więcej róż niż {Носитель}. ile róż ma {Носитель}?	cmpframes	1	да	Anna ma 36 róż. Piotr ma dwa razy więcej róż niż Anna. ile róż ma Piotr?
{Носитель} made # pies. {Носитель} sold # pies. how many more pies did he make than sell?	pronouns	1	да	Kyle made 37 pies. Kyle sold 29 pies. how many more pies did he make than sell?
{Носитель} made # sandwiches. {Носитель} made # sandwich more. how many sandwiches does {Носитель} hold now?	verbs	1	да	Ida made 6 sandwiches. Ida made 1 sandwich more. how many sandwiches does Ida hold now?
{Носитель} makes # cards. {Носитель} sells # cards away. how many cards does {Носитель} keep?	gsmwide	1	да	Iris makes 8 cards. Iris sells 3 cards away. how many cards does Iris keep?
{Носитель} makes # cookies. {Носитель} uses # cookie away. how many cookies does {Носитель} keep?	gsmlex	1	да	Elena makes 10 cookies. Elena uses 1 cookie away. how many cookies does Elena keep?
{Носитель} makes # cookies. {Носитель} uses # cookies away. how many cookies does {Носитель} keep?	gsmlex	1	да	Dan makes 8 cookies. Dan uses 2 cookies away. how many cookies does Dan keep?
{Носитель} makes # days. {Носитель} adds # day more. how many days does {Носитель} hold now?	gsmlex	1	да	Carla makes 8 days. Carla adds 1 day more. how many days does Carla hold now?
{Носитель} makes # days. {Носитель} adds # days more. how many days does {Носитель} hold now?	gsmlex	1	да	Elena makes 11 days. Elena adds 3 days more. how many days does Elena hold now?
{Носитель} makes # degrees. {Носитель} earns # degree more. how many degrees does {Носитель} own now?	gsmwide	1	да	Lena makes 7 degrees. Lena earns 1 degree more. how many degrees does Lena own now?
{Носитель} makes # minutes. {Носитель} uses # minutes away. how many minutes does {Носитель} keep?	gsmlex	1	да	Elena makes 12 minutes. Elena uses 2 minutes away. how many minutes does Elena keep?
{Носитель} makes # packs. {Носитель} earns # packs more. how many packs does {Носитель} own now?	gsmwide	1	да	Carla makes 12 packs. Carla earns 3 packs more. how many packs does Carla own now?
{Носитель} makes # pages. {Носитель} sells # page away. how many pages does {Носитель} keep?	gsmwide	1	да	Janet makes 7 pages. Janet sells 1 page away. how many pages does Janet keep?
{Носитель} makes # pieces. {Носитель} adds # pieces more. how many pieces does {Носитель} hold now?	gsmlex	1	да	Hugo makes 7 pieces. Hugo adds 3 pieces more. how many pieces does Hugo hold now?
{Носитель} makes # points. {Носитель} uses # points away. how many points does {Носитель} keep?	gsmlex	1	да	Dan makes 12 points. Dan uses 3 points away. how many points does Dan keep?
{Носитель} makes # slices. {Носитель} adds # slices more. how many slices does {Носитель} hold now?	gsmlex	1	да	Carla makes 12 slices. Carla adds 2 slices more. how many slices does Carla hold now?
{Носитель} miał # kwiatów. {Носитель} oddał # kwiat. {Носитель} ma # kwiatów. dlaczego {Носитель} ma # kwiatów?	links	1	да	Marek miał 16 kwiatów. Marek oddał 1 kwiat. Marek ma 15 kwiatów. dlaczego Marek ma 15 kwiatów?
{Носитель} miał # ołówki, a {Носитель} i {Носитель} miały # ołówków. {Носитель} dał im # ołówków. ile ołówków mają {Носитель} i {Носитель} teraz?	pronobject	1	да	Marek miał 32 ołówki, a Maria i Zofia miały 12 ołówków. Marek dał im 15 ołówków. ile ołówków mają Maria i Zofi
{Носитель} miał # ołówków, a {Носитель} miała # ołówki. {Носитель} dał jej # ołówków. ile ołówków ma {Носитель} teraz?	pronobject	1	да	Piotr miał 14 ołówków, a Maria miała 3 ołówki. Piotr dał jej 6 ołówków. ile ołówków ma Piotr teraz?
{Носитель} miała # długopisów. {Носитель} oddała # długopisy. {Носитель} ma # długopisów. dlaczego?	links	1	да	Zofia miała 11 długopisów. Zofia oddała 4 długopisy. Zofia ma 7 długopisów. dlaczego?
{Носитель} miała # kart. zgubiła # z nich. ile kart jej zostało?	svamp	1	да	Ewa miała 18 kart. zgubiła 11 z nich. ile kart jej zostało?
{Носитель} miała # książek, a jej tata miał # książek. jej tata dał jej # książek, a {Носитель} dała swojemu tacie # książek. ile książek ma jej tata teraz?	kinbearer	1	да	Maria miała 7 książek, a jej tata miał 20 książek. jej tata dał jej 8 książek, a Maria dała swojemu tacie 6 ks
{Носитель} miała # książek, a {Носитель} miał # książek. {Носитель} dała mu # książek. ile książek ma {Носитель} teraz?	pronobject	1	да	Maria miała 27 książek, a Marek miał 8 książek. Maria dała mu 19 książek. ile książek ma Maria teraz?
{Носитель} miała # książek. jej mama dała jej # książek, a jej tata dał jej # książek. ile książek ma {Носитель} teraz?	kinbearer	1	да	Maria miała 6 książek. jej mama dała jej 5 książek, a jej tata dał jej 7 książek. ile książek ma Maria teraz?
{Носитель} miała # książek. jej tata dał jej jeszcze # książek. ile książek ma {Носитель} teraz?	kinbearer	1	да	Maria miała 12 książek. jej tata dał jej jeszcze 7 książek. ile książek ma Maria teraz?
{Носитель} miała # książek. {Носитель} dostała # książki. co dalej?	links	1	да	Zofia miała 21 książek. Zofia dostała 3 książki. co dalej?
{Носитель} miała # ołówki, a jej mama miała # ołówków. jej mama dała jej # ołówki, a {Носитель} dała swojej mamie # ołówków. ile ołówków ma jej mama teraz?	kinbearer	1	да	Maria miała 4 ołówki, a jej mama miała 12 ołówków. jej mama dała jej 3 ołówki, a Maria dała swojej mamie 5 ołó
{Носитель} miała # ołówków, a {Носитель} miał # ołówków. {Носитель} dała mu # ołówki. ile ołówków ma {Носитель} teraz?	pronobject	1	да	Zofia miała 18 ołówków, a Marek miał 7 ołówków. Zofia dała mu 4 ołówki. ile ołówków ma Marek teraz?
{Носитель} miała # ołówków, a {Носитель} miał # ołówków. {Носитель} dała mu # ołówków. ile ołówków ma {Носитель} teraz?	pronobject	1	да	Maria miała 20 ołówków, a Marek miał 5 ołówków. Maria dała mu 8 ołówków. ile ołówków ma Marek teraz?
{Носитель} miała # ołówków. ona dała swojemu tacie # ołówki. ile ołówków ma {Носитель} teraz?	kinbearer	1	да	Maria miała 9 ołówków. ona dała swojemu tacie 3 ołówki. ile ołówków ma Maria teraz?
{Носитель} n'a pas de ballons. combien de ballons a {Носитель} ?	holdforms	1	да	Marie n'a pas de ballons. combien de ballons a Marie ?
{Носитель} non sa che cosa succederà. perciò {Носитель} ha paura. perché {Носитель} ha paura?	behavior	1	да	Anna non sa che cosa succederà. perciò Anna ha paura. perché Anna ha paura?
{Носитель} não sabe o que vai acontecer. por isso {Носитель} tem medo. porque é que {Носитель} tem medo?	behavior	1	да	Rita não sabe o que vai acontecer. por isso Rita tem medo. porque é que Rita tem medo?
{Носитель} ordered # packs. {Носитель} ordered # packs more. how many packs does {Носитель} hold now?	verbs	1	да	Tara ordered 8 packs. Tara ordered 2 packs more. how many packs does Tara hold now?
{Носитель} packed # pages. {Носитель} used # pages away. how many pages does {Носитель} keep?	realverbs	1	НЕТ	Tom packed 4 pages. Tom used 2 pages away. how many pages does Tom keep?
{Носитель} paid # cents for a apple that costs # cents. how much change did {Носитель} get?	money	1	да	Grace paid 500 cents for a apple that costs 370 cents. how much change did Grace get?
{Носитель} paid # cents for a pen that costs # cents. how much change did {Носитель} get?	money	1	да	Greg paid 700 cents for a pen that costs 555 cents. how much change did Greg get?
